species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,External,All causes,457128012.089424,75680556.3465744,308794121.6501382,605461902.5287099,2021-01-01,43.73377831884,10452515.873582745,1730482.9185996056,7060769.353127518,13844262.394037973
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,All conditions,377243256.429871,67190144.2523969,245550573.6951731,508935939.1645689,2021-01-01,43.73377831884,8625901.326878017,1536344.3735080205,5614666.3548022965,11637136.298953736
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,External,All causes,1268925228.85918,278769556.807588,722536897.5163076,1815313560.2020524,2021-01-01,43.73377831884,29014763.36227144,6374239.032704323,16521254.85817097,41508271.866371915
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,All conditions,2709498264.2277,475488515.759716,1777540773.338657,3641455755.1167436,2021-01-01,43.73377831884,61954360.413915575,10872340.191903362,40644573.63778499,83264147.19004616
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,External,All causes,414622761.379281,61442298.6806383,294195855.9652299,535049666.79333204,2017-01-01,23.8661044574125,17372871.308727745,2574458.634012855,12326932.38606255,22418810.231392942
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Mortality,Non-infectious,All conditions,398782520.555214,58150262.2003805,284808006.6424682,512757034.46795976,2017-01-01,23.8661044574125,16709158.432907023,2436520.8953202157,11933577.478079401,21484739.387734648
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,External,All causes,1735166019.31889,699083942.394874,364961492.2249372,3105370546.4128428,2017-01-01,23.8661044574125,72704199.48153584,29291916.64447558,15292042.858363712,130116356.10470796
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2017-01-01,23.8661044574125,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2017,Production loss,Non-infectious,All conditions,2209957781.56473,864791350.268145,514966735.039166,3904948828.0902944,2017-01-01,23.8661044574125,92598177.70043933,36235128.01644309,21577326.788210884,163619028.6126678
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,External,All causes,435353896.148654,64514410.2809824,308905651.9979285,561802140.2993795,2018-01-01,27.4293865941667,15871805.760367932,2352017.9738435135,11261850.531634646,20481760.98910122
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Mortality,Non-infectious,All conditions,418721643.92692,61057774.052816,299048406.78340065,538394881.0704393,2018-01-01,27.4293865941667,15265439.585731307,2225998.5232699635,10902482.48012218,19628396.691340435
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,External,All causes,1821924320.28487,734038139.513832,383209566.83775926,3260639073.7319803,2018-01-01,27.4293865941667,66422350.13277079,26761011.843769666,13970766.918982247,118873933.34655933
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2018-01-01,27.4293865941667,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2018,Production loss,Non-infectious,All conditions,2320455670.643,908030917.7805,540715071.79322,4100196269.49278,2018-01-01,27.4293865941667,84597432.12545928,33104310.03125704,19712984.464195482,149481879.78672308
All,Afar,Pastoral,Sub-adult,Sub-adult,Overall,2019,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
