species,region,production_system,group,age_group,sex,year,ahle_component,cause,disease,mean,sd,lower95,upper95,date,exchg_rate_lcuperusdol,mean_usd,sd_usd,lower95_usd,upper95_usd
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,External,All causes,414628590.679544,68644496.212253,280085378.1035281,549171803.2555599,2019-01-01,29.06975,14263232.07731556,2361372.086524755,9634942.78772704,18891521.366904084
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,All diseases,834205096.2926,78934192.1138565,679494079.7494413,988916112.8357588,2019-01-01,29.06975,28696672.53046896,2715337.837919366,23374610.368147,34018734.69279092
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,All conditions,342170761.017438,60943442.6298668,222721613.46289906,461619908.5719769,2019-01-01,29.06975,11770681.241408613,2096455.6843408286,7661628.100100588,15879734.382716635
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Mortality,allcause,alldisease,1591004079.450755,8678.597175576428,1590987069.4002907,1591021089.501219,2019-01-01,29.06975,54730573.17144987,298.5439219661823,54729988.02536282,54731158.31753693
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Production loss,External,All causes,1150952588.53445,252852205.722046,655362265.3192399,1646542911.7496603,2019-01-01,29.06975,39592792.80126076,8698121.09571104,22544475.453667123,56641110.148854405
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,All diseases,2515630082.22009,443084302.86989,1647184848.5951056,3384075315.845074,2019-01-01,29.06975,86537726.75100714,15242109.163989713,56663192.78958731,116412260.71242698
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2019-01-01,29.06975,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Production loss,Non-infectious,All conditions,2457594797.48554,431282100.464656,1612281880.5748143,3302907714.3962655,2019-01-01,29.06975,84541311.75828964,14836113.157652061,55462529.9692916,113620093.54728767
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2019,Production loss,allcause,alldisease,6093700418.201252,883929396.6093788,4361198800.846869,7826202035.5556345,2019-01-01,29.06975,209623420.16017517,30407189.487676326,150025328.76432958,269221511.5560208
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Health cost,allcause,alldisease,20215740.13166914,203868.7445040781,19816157.39244115,20615322.870897133,2020-01-01,34.9271654040404,578797.0451598848,5836.967934434622,567356.5880083931,590237.5023113767
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Mortality,External,All causes,435360015.750098,72076720.6673497,294089643.2420926,576630388.2581034,2020-01-01,34.9271654040404,12464796.690879907,2063629.2648876626,8420083.33170009,16509510.050059726
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,All diseases,875915342.060199,82880900.5148003,713468777.0511904,1038361907.0692077,2020-01-01,34.9271654040404,25078340.36709067,2372963.8393504606,20427331.241963763,29729349.49221757
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Mortality,Non-infectious,All conditions,359279295.358786,63990614.1519782,233857691.6209087,484700899.09666324,2020-01-01,34.9271654040404,10286528.872372342,1832115.8734678114,6695581.760375432,13877475.984369252
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Mortality,allcause,alldisease,1670554283.4232929,8707.019520075182,1670537217.6650336,1670571349.1815522,2020-01-01,34.9271654040404,47829655.344147734,249.2907574763553,47829166.734263085,47830143.954032384
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Production loss,External,All causes,1208500217.96115,265494816.007665,688130378.5861266,1728870057.3361733,2020-01-01,34.9271654040404,34600581.065801285,7601384.565177235,19701867.318053905,49499294.81354866
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,All diseases,2641411586.33104,465238518.012086,1729544091.0273514,3553279081.6347284,2020-01-01,34.9271654040404,75626279.88200495,13320248.369146693,49518593.07847743,101733966.68553247
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2020-01-01,34.9271654040404,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Production loss,Non-infectious,All conditions,2580474537.35976,452846205.486607,1692895974.60601,3468053100.1135097,2020-01-01,34.9271654040404,73881590.66184193,12965443.953096217,48469320.51377334,99293860.80991052
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2020,Production loss,allcause,alldisease,6398385439.111314,928125866.4359553,4579258740.896841,8217512137.325787,2020-01-01,34.9271654040404,183192233.46911353,26573180.379779376,131108799.92474593,235275667.0134811
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Health cost,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Health cost,allcause,alldisease,21226527.1382526,214062.181729282,20806965.26206321,21646089.014441993,2021-01-01,43.73377831884,485357.7247202641,4894.664718165147,475764.18187266047,494951.26756786776
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,External,All causes,457128012.089424,75680556.3465744,308794121.6501382,605461902.5287099,2021-01-01,43.73377831884,10452515.873582745,1730482.9185996056,7060769.353127518,13844262.394037973
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,All diseases,919711100.147079,87024944.3404519,749142209.2397933,1090279991.0543647,2021-01-01,43.73377831884,21029765.446789175,1989879.3949610014,17129601.83266561,24929929.060912736
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,Non-infectious,All conditions,377243256.429871,67190144.2523969,245550573.6951731,508935939.1645689,2021-01-01,43.73377831884,8625901.326878017,1536344.3735080205,5614666.3548022965,11637136.298953736
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Mortality,allcause,alldisease,1754081997.5944576,8738.248008536362,1754064870.628361,1754099124.5605543,2021-01-01,43.73377831884,40108174.16246013,199.80546717986238,40107782.54374446,40108565.7811758
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,External,All causes,1268925228.85918,278769556.807588,722536897.5163076,1815313560.2020524,2021-01-01,43.73377831884,29014763.36227144,6374239.032704323,16521254.85817097,41508271.866371915
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,All diseases,2773482165.64754,488500443.911454,1816021295.5810902,3730943035.71399,2021-01-01,43.73377831884,63417392.05397573,11169866.009519093,41524454.67531831,85310329.43263316
All,Afar,Pastoral,Juvenile,Juvenile,Overall,2021,Production loss,Infectious,PPR,0.0,0.0,0.0,0.0,2021-01-01,43.73377831884,0.0,0.0,0.0,0.0
