species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Mortality,Infectious,2245907.71510905,177582.753092777,2234901.22429006,2256914.20592804
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Mortality,Non-infectious,903002.785546871,141929.253465486,894206.080923211,911799.490170532
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Production loss,External,-5466161.60488767,2249154.38226679,-5605563.07618917,-5326760.13358617
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Production loss,Infectious,-9500940.44719089,3811899.84256236,-9737200.10579715,-9264680.78858462
All Poultry,National,Small holder,Chick,Chick,Overall,2019,Production loss,Non-infectious,-8474651.86547141,3487909.36515015,-8690830.75523627,-8258472.97570654
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Mortality,External,1086224.68274265,171351.832248366,1075604.38130226,1096844.98418303
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Mortality,Infectious,2358203.0811409,186461.882642152,2346646.26628332,2369759.89599848
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Mortality,Non-infectious,948152.917088429,149025.714019574,938916.377364932,957389.456811926
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Production loss,External,-5739469.68513204,2361612.10137979,-5885841.22999859,-5593098.14026549
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Production loss,Infectious,-9975987.46955041,4002494.83468988,-10224060.111087,-9727914.82801386
All Poultry,National,Small holder,Chick,Chick,Overall,2020,Production loss,Non-infectious,-8898384.45874495,3662304.83340713,-9125372.29299803,-8671396.62449188
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Mortality,External,1140535.90864394,179919.425016537,1129384.5920599,1151687.22522797
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Mortality,Infectious,2476113.21547434,195784.968670082,2463978.56037618,2488247.87057251
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Mortality,Non-infectious,995560.555207064,156476.997601593,985862.188628724,1005258.9217854
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Production loss,External,-6026443.16938863,2479692.70644847,-6180133.29149849,-5872753.04727877
All Poultry,National,Small holder,Chick,Chick,Overall,2021,Production loss,Infectious,-10474786.8430279,4202619.57642381,-10735263.1166412,-10214310.5694146
